,ADDR_PCT_CD,COUNT,risk_factor
0,1,51,1
1,5,24,1
2,6,39,1
3,7,48,1
4,9,82,1
5,10,39,1
6,13,45,1
7,14,39,1
8,17,41,1
9,18,50,1
10,19,133,2
11,20,69,1
12,23,45,1
13,24,66,1
14,25,49,1
15,26,38,1
16,28,40,1
17,30,48,1
18,32,38,1
19,33,48,1
20,34,165,2
21,40,138,2
22,41,106,2
23,42,156,2
24,43,305,4
25,44,117,2
26,45,218,3
27,46,111,2
28,47,371,4
29,48,144,2
30,49,191,2
31,50,89,1
32,52,168,2
33,60,53,1
34,61,70,1
35,62,70,1
36,63,59,1
37,66,63,1
38,67,170,2
39,68,55,1
40,69,72,1
41,70,97,1
42,71,92,1
43,72,64,1
44,73,108,2
45,75,407,4
46,76,38,1
47,77,76,1
48,78,55,1
49,79,71,1
50,81,76,1
51,83,128,2
52,84,28,1
53,88,42,1
54,90,119,2
55,94,88,1
56,100,13,1
57,101,34,1
58,102,184,2
59,103,90,1
60,104,163,2
61,105,109,2
62,106,134,2
63,107,118,2
64,108,148,2
65,109,157,2
66,110,146,2
67,111,52,1
68,112,55,1
69,113,141,2
70,114,189,2
71,115,159,2
72,120,53,1
73,121,38,1
74,122,48,1
75,123,34,1
