Violation Precinct,sum
1,90745.0
5,50503.0
6,66190.0
7,33417.0
9,49326.0
10,63627.0
13,101179.0
14,100339.0
17,66672.0
18,107179.0
19,165759.0
20,56902.0
22,48.0
23,33608.0
24,50907.0
25,22261.0
26,14508.0
28,32542.0
30,10248.0
32,19783.0
33,25593.0
34,29187.0
40,22185.0
41,11531.0
42,10756.0
43,33848.0
44,24033.0
45,22063.0
46,38349.0
47,20523.0
48,28383.0
49,32923.0
50,19615.0
52,46484.0
60,16123.0
61,36055.0
62,26426.0
63,12091.0
66,30470.0
67,19449.0
68,25312.0
69,6162.0
70,40907.0
71,8922.0
72,16132.0
73,7773.0
75,19707.0
76,8051.0
77,18845.0
78,18902.0
79,23932.0
81,4886.0
83,15093.0
84,66034.0
88,26354.0
90,38944.0
94,29682.0
100,5927.0
101,4279.0
102,38894.0
103,49676.0
104,34904.0
105,6765.0
106,26168.0
107,27268.0
108,45218.0
109,77408.0
110,28399.0
111,11503.0
112,63973.0
113,4783.0
114,100387.0
115,71155.0
120,9354.0
121,5205.0
122,5487.0
123,761.0
